agency,user_bureau,application_name,year_activated,application_description,database_contents,status,confidentiality,method_of_access,pdf_page
DEPARTMENT OF PARKS AND RECREATION,,Forestry Contractual Tracking system,1989,"This system consists of two modules. The Tree Inventory Management System (TRZHS) maintains the tree inventory, records complaints, schedules work orders, and records completed work for the street trees in New York City. Due to staffing cuts, TRZHS is currently used on a limited basis. The Contractual Tracking module maintains the records of all maintenance performed through tree maintenance contracts.","Contractor directory, service contracts, service contractors, inventory, tree inspections/work orders.",,,,131
DEPARTMENT OF PARKS AND RECREATION,,Inventory Control system,1988,"This system tracks all stock items carried in Parks' storehouses. Features include receipt of supplies, current inventory levels, orders, issuance, and loan and return. It allows Parks to develop a comprehensive purchasing strategy based on actual supply usage.","Vendor payments, vendor history, other purchases, commodity purchases, purchase requisitions/orders, procurement, parklands, OTPS budget/expenditures, management reporting, inventory, financial reporting, commodities usage, commodities directory, address directory.",,,,132
DEPARTMENT OF PARKS AND RECREATION,,Parklands Property List,1986,The Parklands Property List maintains information on physical properties of all DPR owned and maintained parks and special facilities.,"Waterfronts, infra-structure (other than bridges) inventory, property owners, city owned properties, landmark sites, land use, city owned property characteristics, inventory, parklands, administrative reports, address directory.",,,,132
DEPARTMENT OF PARKS AND RECREATION,,Staffing Census Analysis,1989 This program tracks permanent staffing and mobile crew assignments and usage statistics in all properties. A variety of statistical reports are produced from the data.,,"Manpower reports/statistics, parklands, personnel records, management reporting.",,,,132
DEPARTMENT OF PARKS AND RECREATION,,Work Order Tracking System (WOTS),1988,"WOTS tracks all work requests aade to the technical shops and generates reports of completed and outstandin9 work orders. zt provides detailed reports for district operations staff, borough managers and executives.","Building aodifications/repairs, inspection reports, infra­ structure (other than bridges) inventory, building/structure inspections, public facilities inspections, parklands, crime/fire/public hazard statistics, tree inspections/work orders, other.",,,,133
DEPARTMENT OF PERSONNEL,,Application Production and Processing System,1985,This application allows the Department of Personnel to process applicants for civil Service examinations. civil Service examination test scores and eligible lists are processed and maintained in this system.,"Correspondences, personnel examination, administrative examination, fee collections/accounting, skilled trades licensing, and demographic statistics.",,,,135
DEPARTMENT OF PERSONNEL,,"Certification Evaluation, Reporting/Tracking system",1985,This application allows the Department of Personnel to maintain eligible lists and to certify eligibles to obtain job vacancies in civil Service tenured positions in various New York City departments.,"Employee processing, employ,e certifications, city employee/ personnel, aUdits, administrative reports.",,,,135
DEPARTMENT OF PERSONNEL,,Managerial Analysis and Tracking system,1985,This application enables the Department of Personnel to perform analysis of the managerial titles throughout New York City government. Managerial allocations are tracked and analysis performed to determine the appropriateness of the title and type of managerial position.,"Demographic statistics, personnel records, management reporting, employee transactions, correspondences, city employee/personnel, administrative reports.",,,,135
DEPARTMENT OF PERSONNEL,,Monitor processing system,1972,"This application tracks all of the monitorial staffing for the administration of civil Service examinations and per diem assignments of monitors from a pool of employees. The system generates call notices to staff schools for the administration of examinations, computes the amount of pay mased on the hours worked and the hourly rate of pay in accordance with the level of assignment.","Correspondences, city employee/personnel employee, employee processing, manpower reports/statistics, and manpower schedules.",,,,136
DEPARTMENT OF PERSONNEL,,Personnel Investigation Control and Tracking system,1988,"This is a Case Tracking system to support investigation of applicants for various positions throughout New York City agencies. These positions include competitive, permanent and discretionary hires.","Personnel records, management reporting, investigations/ confidential, employee processing, employee transactions, employee skills, employee certifications, correspondences, city employee/personnel, city employee skills inventory, aUdits, administrative reports.",,,,136
DEPARTMENT OF PERSONNEL,,Personnel Reporting and Information System for Employees,1983,"This system allows the Department of Personnel to process all personnel transactions, audit New York City payroll and maintain employee personnel history on a citywide basis.","Administrative reports, city employee payroll, aUdits, city employee/personnel, employee transactions, employee processing, management reporting, manpower reports/statistics, personnel records, demographic statistics, city employee absence/leave/ statistics, address directory.",,,,136
DEPARTMENT OF PERSONNEL,,unemployment Insurance,1991,An Equal Employment opportunity database utilized to produce Federally mandated reports and statistical analysis of the City'S workforce and labor pools. The system also allows the Department of Personnel to identify and remedy manifest cases of under utilization.,"Administrative reports, aUdits, city employee/personnel, employee transactions, management reports, manpower reports/ statistics, statistics/demographic, applicant tracking, complaint tracking, training tracking.",,,,137
DEPARTMENT OF PROBATION,,Differential supervision Program,1982,"This is a case tracking system for sixty thousand probationers under supervision by the Department. The system tracks probationer demographics data, risks assessment, rearrests, violations and outcome data.","Case tracking of probationers under supervision, probationer demographics data, rearrest data, violation data, outcome data, risk assessment, drug usage, early discharge data.",,9 HYCRR Sec. 350.11 and 9 HYCRR Sec. 351.8.,,141
DEPARTMENT OF PROBATION,,Central Placement unit,1991,This system administers the utilization of drug treatment slots by automatically matching probationer needs profile against available treatment slots that correspond to those needs.,"Probationer drug treatment needs profile, drug treatment slot availability, automated matching of needs profile to slot availability, treatment provider services profile.",,42 CFR 2.1.,,141
"OFFICE OF THE DEPUTY MAYOR FOR PUBLIC SAFETY (formerly, the OFFICE OF THE COORDINATOR OF CRIMINAL JUSTICE)",,Arrest to Arraignment Computer simulation Model,1989,"This module is a simulation model of the City's arrest to arraignment process. It utilized 1989 data to assist agencies in this process with bUdgeting and resource allocation decisions. As the database mas not been updated, it is presently obsolete.","Arrests, criminal bookings.",,,,143
"OFFICE OF THE DEPUTY MAYOR FOR PUBLIC SAFETY (formerly, the OFFICE OF THE COORDINATOR OF CRIMINAL JUSTICE)",,corporation Counsel Case Tracking system,1983,"A unified case tracking and management information system of juvenile Family Court cases processed by the City's Law Department, Family Court Division.","Children/confidential, juvenile delinquent, juvenile delinquent reports/statistics, investigations/confidential, crimes, arrests, management reporting, manpower reports/statistics, petitions, probation clients, research/planning, crime/fire/ public hazard statistics, other.",,"NYS Family Court Act, section 166. ----------1I AGENCY: Deputy Mayor for Public Safety Page 2 of 2 I",,143
